"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
7551,"tlaw****",18,8,33
7560,"wogh****",28,16,11
7568,"full****",11,20,16
7575,"mans****",36,8,27
7580,"roro****",14,31,4
7599,"naga****",25,9,23
7603,"ipra****",28,32,34
7610,"mana****",10,16,21
7636,"jedi****",19,4,23
7658,"chol****",9,37,31
7676,"andy****",1,8,4
7682,"epis****",16,35,32
7689,"bree****",35,25,28
7690,"brot****",16,31,3
7707,"lead****",33,11,8
7710,"ehdt****",17,38,30
7719,"meth****",34,24,5
7720,"mous****",35,22,16
7738,"morn****",17,26,40
7754,"simj****",17,27,32
7795,"tmxk****",16,35,14
7805,"deux****",16,22,14
7808,"thek****",6,4,29
7816,"2001****",9,13,23
7827,"min_****",28,40,20
7839,"slow****",4,33,23
7854,"face****",14,31,32
7862,"anar****",38,31,16
7867,"evil****",25,24,39
7871,"roya****",36,8,39
7890,"dude****",39,15,8
7891,"myon****",35,14,6
7896,"runa****",31,13,5
7910,"alla****",6,13,40
7914,"naya****",30,33,20
7926,"hiro****",27,20,37
7940,"gnsl****",22,32,29
7947,"tjdt****",33,15,31
7958,"jihu****",27,31,20
7959,"tree****",37,2,14
7966,"find****",16,15,39
7986,"chod****",37,10,27
8006,"haid****",4,39,26
8008,"sky0****",27,34,18
8020,"head****",29,37,1
8026,"soeu****",6,15,25
8038,"qkrg****",27,36,1
8043,"rang****",28,33,1
8048,"icar****",27,2,4
8052,"akfl****",33,29,36
8057,"insu****",8,21,21
8061,"qkqh****",26,16,8
